# time-2450000 flux       flux_err  
7990.87513841 0.99797554 0.00009307
7990.89557081 0.99810551 0.00009307
7990.91600311 0.99812195 0.00009307
7990.93643541 0.99835234 0.00009307
7990.95686771 0.99844841 0.00009307
7990.97730000 0.99853971 0.00009307
7990.99773240 0.99854664 0.00009307
7991.01816460 0.99881565 0.00009307
7991.03859689 0.99880825 0.00009307
7991.05902929 0.99891130 0.00009307
7991.12032617 0.99914596 0.00009307
7991.14075837 0.99934243 0.00009307
7991.16119066 0.99941384 0.00009307
7991.18162306 0.99946126 0.00009307
7991.20205525 0.99960790 0.00009307
7991.22248754 0.99975974 0.00009307
7991.24291993 0.99986439 0.00009307
7991.26335212 1.00006120 0.00009307
7991.28378451 1.00012907 0.00009307
7991.30421680 1.00026996 0.00009307
7991.32464909 1.00044201 0.00009307
7991.36551367 1.00069959 0.00009307
7991.38594596 1.00071476 0.00009307
7991.40637825 1.00090727 0.00009307
7991.42681053 1.00107640 0.00009307
7991.44724282 1.00121158 0.00009307
7991.46767511 1.00136060 0.00009307
7991.48810739 1.00146652 0.00009307
7991.50853968 1.00159404 0.00009307
7991.52897196 1.00164837 0.00009307
7991.54940425 1.00174963 0.00009307
7991.56983643 1.00187477 0.00009307
7991.61070110 1.00205364 0.00009307
7991.63113328 1.00220734 0.00009307
7991.65156566 1.00211826 0.00009307
7991.67199794 1.00206037 0.00009307
7991.69243032 1.00214660 0.00009307
7991.71286250 1.00237062 0.00009307
7991.73329478 1.00278115 0.00009307
7991.75372716 1.00288580 0.00009307
7991.77415934 1.00305689 0.00009307
7991.79459162 1.00316998 0.00009307
7991.81502400 1.00321806 0.00009307
7991.85588845 1.00350034 0.00009307
7991.87632083 1.00365413 0.00009307
7991.89675311 1.00382293 0.00009307
7991.91718528 1.00390514 0.00009307
7991.93761766 1.00399620 0.00009307
7991.95804993 1.00415629 0.00009307
7991.97848211 1.00414971 0.00009307
7991.99891448 1.00429539 0.00009307
7992.01934675 1.00435258 0.00009307
7992.03977893 1.00460924 0.00009307
7992.06021130 1.00462632 0.00009307
7992.10107574 1.00482717 0.00009307
7992.12150811 1.00479493 0.00009307
7992.14194038 1.00493459 0.00009307
7992.16237265 1.00492107 0.00009307
7992.18280492 1.00490125 0.00009307
7992.20323719 1.00502800 0.00009307
7992.22366946 1.00511541 0.00009307
7992.24410173 1.00513178 0.00009307
7992.26453400 1.00518359 0.00009307
7992.28496626 1.00525955 0.00009307
7992.30539853 1.00533539 0.00009307
7992.36669533 1.00550734 0.00009307
7992.38712759 1.00558440 0.00009307
7992.40755996 1.00549136 0.00009307
7992.42799212 1.00555263 0.00009307
7992.44842438 1.00565263 0.00009307
7992.46885675 1.00559809 0.00009307
7992.48928891 1.00561122 0.00009307
7992.50972117 1.00567149 0.00009307
7992.53015353 1.00564962 0.00009307
7992.55058569 1.00566636 0.00009307
7992.59145031 1.00581407 0.00009307
7992.61188247 1.00582303 0.00009307
7992.63231483 1.00582528 0.00009307
7992.65274709 1.00580099 0.00009307
7992.67317935 1.00581163 0.00009307
7992.69361161 1.00579783 0.00009307
7992.71404386 1.00589330 0.00009307
7992.73447612 1.00578759 0.00009307
7992.75490838 1.00584718 0.00009307
7992.77534063 1.00583525 0.00009307
7992.79577289 1.00580622 0.00009307
7992.83663740 1.00573364 0.00009307
7992.85706965 1.00574691 0.00009307
7992.87750201 1.00567247 0.00009307
7992.89793416 1.00563962 0.00009307
7992.91836641 1.00567306 0.00009307
7992.93879866 1.00560569 0.00009307
7992.95923091 1.00562180 0.00009307
7992.97966307 1.00557598 0.00009307
7993.02052767 1.00558450 0.00009307
7993.04095992 1.00553114 0.00009307
7993.08182441 1.00543486 0.00009307
7993.10225676 1.00536376 0.00009307
7993.12268891 1.00520871 0.00009307
7993.14312116 1.00518119 0.00009307
7993.16355350 1.00518420 0.00009307
7993.18398565 1.00500314 0.00009307
7993.20441790 1.00485392 0.00009307
7993.22485024 1.00481533 0.00009307
7993.24528249 1.00476713 0.00009307
7993.26571463 1.00468235 0.00009307
7993.28614698 1.00454981 0.00009307
7993.34744371 1.00455059 0.00009307
7993.36787595 1.00442698 0.00009307
7993.38830809 1.00431288 0.00009307
7993.40874043 1.00410122 0.00009307
7993.42917267 1.00394733 0.00009307
7993.44960481 1.00398520 0.00009307
7993.47003715 1.00395320 0.00009307
7993.49046939 1.00386561 0.00009307
7993.51090163 1.00378089 0.00009307
7993.53133387 1.00379470 0.00009307
7993.55176611 1.00371220 0.00009307
7993.57219835 1.00354732 0.00009307
7993.59263058 1.00346975 0.00009307
7993.61306282 1.00341184 0.00009307
7993.63349506 1.00327325 0.00009307
7993.65392729 1.00324027 0.00009307
7993.69479186 1.00314354 0.00009307
7993.71522400 1.00302043 0.00009307
7993.73565623 1.00300385 0.00009307
7993.75608856 1.00291069 0.00009307
7993.77652070 1.00283603 0.00009307
7993.81738526 1.00284916 0.00009307
7993.83781739 1.00273930 0.00009307
7993.85824962 1.00274869 0.00009307
7993.87868195 1.00266806 0.00009307
7993.89911408 1.00261933 0.00009307
7993.91954631 1.00260549 0.00009307
7993.93997864 1.00260327 0.00009307
7993.96041077 1.00260067 0.00009307
7993.98084300 1.00254506 0.00009307
7994.00127533 1.00251623 0.00009307
7994.02170745 1.00253443 0.00009307
7994.06257201 1.00258825 0.00009307
7994.08300423 1.00267023 0.00009307
7994.10343636 1.00273026 0.00009307
7994.12386868 1.00268060 0.00009307
7994.14430091 1.00246723 0.00009307
7994.16473323 1.00231571 0.00009307
7994.18516536 1.00250081 0.00009307
7994.20559758 1.00282661 0.00009307
7994.22602990 1.00270958 0.00009307
7994.24646203 1.00286954 0.00009307
7994.26689425 1.00287971 0.00009307
7994.28732657 1.00301645 0.00009307
7994.32819091 1.00305233 0.00009307
7994.34862323 1.00306034 0.00009307
7994.36905535 1.00309103 0.00009307
7994.38948757 1.00317977 0.00009307
7994.40991979 1.00310268 0.00009307
7994.43035201 1.00319487 0.00009307
7994.45078422 1.00330193 0.00009307
7994.47121644 1.00324395 0.00009307
7994.49164866 1.00329333 0.00009307
7994.51208087 1.00341467 0.00009307
7994.55294531 1.00348637 0.00009307
7994.57337752 1.00360493 0.00009307
7994.59380984 1.00371702 0.00009307
7994.61424195 1.00393804 0.00009307
7994.63467416 1.00395820 0.00009307
7994.65510648 1.00395752 0.00009307
7994.67553859 1.00407711 0.00009307
7994.69597090 1.00410133 0.00009307
7994.71640311 1.00420544 0.00009307
7994.73683522 1.00425350 0.00009307
7994.75726754 1.00440118 0.00009307
7994.77769975 1.00451313 0.00009307
7994.79813186 1.00457195 0.00009307
7994.81856416 1.00459873 0.00009307
7994.83899637 1.00471954 0.00009307
7994.85942848 1.00479691 0.00009307
7994.87986079 1.00486462 0.00009307
7994.90029300 1.00488424 0.00009307
7994.92072520 1.00493570 0.00009307
7994.94115741 1.00503528 0.00009307
7994.96158962 1.00505377 0.00009307
7994.98202182 1.00507991 0.00009307
7995.00245413 1.00513851 0.00009307
7995.04331844 1.00545695 0.00009307
7995.06375074 1.00566447 0.00009307
7995.08418285 1.00570223 0.00009307
7995.10461505 1.00573877 0.00009307
7995.12504735 1.00577634 0.00009307
7995.14547945 1.00590247 0.00009307
7995.16591166 1.00594327 0.00009307
7995.18634386 1.00599279 0.00009307
7995.20677606 1.00622805 0.00009307
7995.22720816 1.00628269 0.00009307
7995.24764046 1.00639112 0.00009307
7995.30893706 1.00675233 0.00009307
7995.32936925 1.00693985 0.00009307
7995.34980155 1.00703407 0.00009307
7995.37023375 1.00706847 0.00009307
7995.39066585 1.00715106 0.00009307
7995.41109814 1.00722688 0.00009307
7995.43153034 1.00730452 0.00009307
7995.45196243 1.00731961 0.00009307
7995.47239473 1.00739489 0.00009307
7995.49282692 1.00747378 0.00009307
7995.51325902 1.00766251 0.00009307
7995.53369131 1.00768920 0.00009307
7995.55412350 1.00775695 0.00009307
7995.57455560 1.00778464 0.00009307
7995.59498789 1.00787280 0.00009307
7995.61542008 1.00790959 0.00009307
7995.63585217 1.00793739 0.00009307
7995.65628446 1.00808462 0.00009307
7995.67671665 1.00816668 0.00009307
7995.69714874 1.00815027 0.00009307
7995.71758103 1.00830813 0.00009307
7995.73801322 1.00835766 0.00009307
7995.77887760 1.00876683 0.00009307
7995.79930979 1.00872587 0.00009307
7995.81974197 1.00872273 0.00009307
7995.84017426 1.00879342 0.00009307
7995.86060635 1.00885190 0.00009307
7995.88103853 1.00886433 0.00009307
7995.90147072 1.00898582 0.00009307
7995.92190290 1.00901619 0.00009307
7995.94233519 1.00915377 0.00009307
7995.96276727 1.00928249 0.00009307
7995.98319946 1.00922915 0.00009307
7996.00363174 1.00944210 0.00009307
7996.02406382 1.00940427 0.00009307
7996.04449601 1.00937898 0.00009307
7996.06492829 1.00947888 0.00009307
7996.08536037 1.00950451 0.00009307
7996.10579255 1.00960634 0.00009307
7996.12622483 1.00955418 0.00009307
7996.14665691 1.00952599 0.00009307
7996.16708909 1.00957169 0.00009307
7996.18752137 1.00961739 0.00009307
7996.20795355 1.00965489 0.00009307
7996.22838563 1.00953377 0.00009307
7996.26925008 1.00989069 0.00009307
7996.28968216 1.00984164 0.00009307
7996.31011444 1.00949276 0.00009307
7996.33054661 1.00958077 0.00009307
7996.37141096 1.00932976 0.00009307
7996.39184314 1.00937804 0.00009307
7996.41227541 1.00955253 0.00009307
7996.43270749 1.00959962 0.00009307
7996.45313966 1.00952718 0.00009307
7996.47357193 1.00941343 0.00009307
7996.51443618 1.00929743 0.00009307
7996.53486845 1.00932578 0.00009307
7996.55530052 1.00934083 0.00009307
7996.57573269 1.00931598 0.00009307
7996.59616486 1.00902878 0.00009307
7996.61659703 1.00900676 0.00009307
7996.63702920 1.00900252 0.00009307
7996.65746137 1.00900894 0.00009307
7996.67789354 1.00921545 0.00009307
7996.69832571 1.00906186 0.00009307
7996.71875788 1.00894493 0.00009307
7996.73919004 1.00888498 0.00009307
7996.75962221 1.00871037 0.00009307
7996.78005448 1.00856553 0.00009307
7996.80048654 1.00858078 0.00009307
7996.82091871 1.00841977 0.00009307
7996.84135097 1.00832311 0.00009307
7996.86178304 1.00810336 0.00009307
7996.88221520 1.00805185 0.00009307
7996.90264746 1.00787881 0.00009307
7996.92307953 1.00773079 0.00009307
