# Time  Detrended_flux  flux_error  flux  GP_model  planets_model
7.990875138409999636e+03 9.999823810571532023e-01 9.302666342343359352e-05 9.982616630580579686e-01 9.982792516831384688e-01 1.000000000000000000e+00
7.990895570810000208e+03 1.000010292142031965e+00 9.302666342343359352e-05 9.983916703209090304e-01 9.983813948377913139e-01 1.000000000000000000e+00
7.990916003110000020e+03 9.999217546239671517e-01 9.302666342343359352e-05 9.984081150343141475e-01 9.984862419657803967e-01 1.000000000000000000e+00
7.990936435409999831e+03 1.000045630059483326e+00 9.302666342343359352e-05 9.986385710879283062e-01 9.985930052297000703e-01 1.000000000000000000e+00
7.990956867709999642e+03 1.000035492080715960e+00 9.302666342343359352e-05 9.987346686315314859e-01 9.986992227181078485e-01 1.000000000000000000e+00
7.990977299999999559e+03 1.000022679033691464e+00 9.302666342343359352e-05 9.988259948075589589e-01 9.988033429128939655e-01 1.000000000000000000e+00
7.990997732400000132e+03 9.999276634782784390e-01 9.302666342343359352e-05 9.988329267944141554e-01 9.989051841209630744e-01 1.000000000000000000e+00
7.991018164600000091e+03 1.000097198047580793e+00 9.302666342343359352e-05 9.991020139205167849e-01 9.990049125934891139e-01 1.000000000000000000e+00
7.991038596890000008e+03 9.999930131349695772e-01 9.302666342343359352e-05 9.990946117989109032e-01 9.991015923868885595e-01 1.000000000000000000e+00
7.991059029289999671e+03 1.000001390556284564e+00 9.302666342343359352e-05 9.991976913437042862e-01 9.991963019050070782e-01 1.000000000000000000e+00
7.991120326170000226e+03 9.999484366367124011e-01 9.302666342343359352e-05 9.994324186215424177e-01 9.994839553758335660e-01 1.000000000000000000e+00
7.991140758370000185e+03 1.000043165790554855e+00 9.302666342343359352e-05 9.996289449501747360e-01 9.995857970390181757e-01 1.000000000000000000e+00
7.991161190660000102e+03 1.000008761148473369e+00 9.302666342343359352e-05 9.997003754236700734e-01 9.996916169769861638e-01 1.000000000000000000e+00
7.991181623059999765e+03 9.999453931318253996e-01 9.302666342343359352e-05 9.997478090191489475e-01 9.998024050972847965e-01 1.000000000000000000e+00
7.991202055249999830e+03 9.999751837576603686e-01 9.302666342343359352e-05 9.998944910613469794e-01 9.999193053011473653e-01 1.000000000000000000e+00
