# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2408.45489506 1.00030418 0.00013185 1.00000000 -0.94085836 -84.63843956 0.02806468 0.65220980 0.24349976
2408.48161711 0.99986842 0.00013202 0.31458086 -0.75067937 127.73813279 0.25544287 0.52021227 0.36401367
2408.48203464 0.99974858 0.00013203 0.09574328 -1.00000000 125.78313948 0.28006826 0.55803162 0.34387207
2408.48245218 0.99979817 0.00013194 -0.18152338 0.54613209 123.86072827 0.15964271 0.81813105 0.38418579
2408.48286971 0.99943877 0.00013189 -0.08382855 -0.13671465 121.96851279 0.14102707 0.64271429 0.38418579
2408.48328724 0.99976245 0.00013183 -0.50991184 -0.25645095 120.10492676 0.04655287 0.56196702 0.36401367
2408.48370477 0.99937805 0.00013179 0.11707825 0.72780842 118.26735816 0.03373540 0.58595437 0.33380127
2408.48412231 0.99953544 0.00013180 -0.46988305 -0.19994618 116.45395333 0.03451042 0.53306848 0.34387207
2408.48453984 0.99967195 0.00013181 -0.34216666 -0.00804520 114.66283090 0.03084932 0.69297125 0.35394287
2408.48495737 0.99977613 0.00013182 -0.15502341 0.29229113 112.89172027 0.03199846 0.67069228 0.34387207
2408.48537490 0.99948781 0.00013180 -0.36391249 0.11088390 111.13849353 0.03041525 0.72163836 0.32373047
2408.48579244 0.99946195 0.00013180 -0.39141026 0.50135881 109.40090353 0.03472029 0.64953028 0.30364990
2408.48620997 0.99930290 0.00013179 -0.19687165 0.37069824 107.67715760 0.03309918 0.71316610 0.31369019
2408.48662750 0.99971049 0.00013182 -0.17139880 0.15635678 105.96482285 0.03183841 0.80444765 0.31369019
2408.48704503 0.99962143 0.00013181 -0.52599376 0.11147585 104.26252808 0.03067915 0.67437394 0.30364990
2408.48746257 0.99964895 0.00013181 -0.50732929 0.21948069 102.56738572 0.03484523 0.62594391 0.28356934
2408.48788011 0.99975465 0.00013182 -0.80279088 0.37683305 100.87832260 0.03252198 0.62479742 0.28356934
2408.48829764 0.99958421 0.00013181 -0.40561402 0.55565721 99.19250679 0.03228540 0.78897003 0.28356934
2408.48871517 0.99947875 0.00013180 -0.34078738 0.04517691 97.50832777 0.03133379 0.70258374 0.28356934
2408.48913270 0.99957875 0.00013181 -0.23481680 0.05012781 95.82364212 0.03274634 0.82854942 0.24349976
2408.48955024 0.99964616 0.00013181 -0.36042026 -0.06535719 94.13620921 0.03285966 0.78445213 0.28356934
2408.48996777 0.99948640 0.00013180 -0.18924154 0.17524552 92.44457380 0.03586593 0.72208686 0.26351929
2408.49038530 0.99931806 0.00013180 -0.25424424 -0.00675367 90.74624103 0.03541451 0.81537620 0.24349976
2408.49080283 0.99977881 0.00013182 -0.34216666 0.27060407 89.03949627 0.03460511 0.62329362 0.26351929
2408.49122037 0.99988580 0.00013183 -0.32954761 0.08440737 87.32203962 0.03087028 0.68290852 0.28356934
2408.49163790 0.99988723 0.00013182 0.01225221 0.07316023 85.59193585 0.03007055 0.49954069 0.24349976
2408.49205543 0.99977169 0.00013182 -0.13492098 0.33114490 83.84714168 0.03196967 0.54534621 0.26351929
2408.49247296 0.99982390 0.00013182 -0.01231090 0.10561012 82.08571417 0.03354286 0.57560478 0.28356934
2408.49289050 0.99970166 0.00013182 -0.70647532 0.62696087 80.30505760 0.03987375 0.50389785 0.26351929
2408.49330802 0.99972918 0.00013181 -0.66961598 0.03624378 78.50376634 0.03088416 0.59547522 0.24349976
2408.49372556 0.99962429 0.00013181 0.08277208 0.33787164 76.67893278 0.03479629 0.65222296 0.26351929
2408.49414309 0.99987102 0.00013182 -0.02648531 0.34793487 74.82909860 0.02656062 0.52609865 0.26351929
2408.49456062 0.99981655 0.00013181 0.10921337 0.58735371 72.95205574 0.02185045 0.52234668 0.24349976
2408.49497815 1.00010975 0.00013182 -0.51275843 -0.23815417 71.04559685 0.01847974 0.51521290 0.26351929
2408.49539569 0.99972801 0.00013180 -0.35821924 0.39034039 69.10747237 0.01512656 0.69204395 0.24349976
2408.49581322 1.00010856 0.00013182 -0.68238175 -0.26296246 67.13582157 0.01427575 0.54427588 0.26351929
2408.49623075 1.00012470 0.00013183 -0.52511334 0.00061886 65.12849514 0.01603491 0.63381989 0.24349976
2408.49664828 1.00015815 0.00013183 -0.33286378 0.08155522 63.08374914 0.01422633 0.62138098 0.26351929
2408.49706581 0.99980531 0.00013180 -0.36150607 0.10512579 60.99982441 0.01294618 0.72070538 0.27352905
2408.49748335 0.99997020 0.00013181 -0.19660753 0.17691377 58.87433097 0.01028259 0.72245552 0.24349976
2408.49790088 1.00000000 0.00013182 -0.51178998 0.15129827 56.70672910 0.01131597 0.69065735 0.26351929
2408.49831841 1.00003494 0.00013182 -0.00409385 0.22658415 54.49471183 0.00959105 0.71687830 0.24349976
2408.49873594 0.99989081 0.00013181 -0.36922422 0.21275394 52.23713358 0.00897088 0.83098801 0.26351929
2408.49915348 1.00013498 0.00013182 -0.02683746 0.23379524 49.93343225 0.00699110 0.78105407 0.22348022
2408.49957101 1.00033394 0.00013183 -0.59422457 0.14279564 47.58269779 0.00389387 0.67945984 0.24349976
2408.49998854 1.00021069 0.00013182 -0.14073162 0.21824297 45.18418025 0.00205475 0.74812633 0.24349976
2408.50040607 1.00033816 0.00013183 -0.23047350 0.18251042 42.73844790 0.00000000 0.92612175 0.22348022
2408.50082361 1.00001345 0.00013181 -0.85887223 -0.01498722 40.24554273 0.00320372 0.78372602 0.22348022
2408.50124113 1.00026939 0.00013183 -0.03834133 0.16141531 37.70651006 0.00393481 0.76362575 0.24349976
2408.50165867 1.00011263 0.00013182 -0.31728074 0.22136419 35.12219435 0.00304728 0.90182096 0.24349976
2408.50207620 1.00022079 0.00013183 -0.13882408 0.14005113 32.49524034 0.00234679 0.85993482 0.24349976
2408.50249373 1.00000049 0.00013181 0.02918519 0.37145165 29.82746084 0.00260159 0.95337242 0.22348022
2408.50291126 1.00030149 0.00013183 -0.36282668 -0.09662317 27.12174949 0.00369450 0.90348285 0.26351929
2408.50332880 1.00049063 0.00013185 0.09351294 0.40352482 24.38144619 0.00433934 0.97651405 0.24349976
2408.50374633 1.00015904 0.00013182 -0.79008377 0.05846899 21.61102957 0.00172179 0.98667239 0.24349976
2408.50416386 1.00029226 0.00013183 -0.08652844 0.23799273 18.81432693 0.00403756 0.92275478 0.24349976
2408.50458139 1.00032205 0.00013183 -0.94667721 0.08575273 15.99652710 0.00546310 0.82382375 0.25350952
2408.50499892 1.00027942 0.00013183 -0.08189168 0.18584689 13.16257392 0.00536083 0.86988174 0.24349976
2408.50541646 1.00037273 0.00013184 -0.66283691 -0.00164133 10.31807424 0.00807980 0.71240919 0.24349976
2408.50583399 1.00020346 0.00013183 -0.19610864 0.32178125 7.46848954 0.00717463 0.74964504 0.24349976
2408.50625152 1.00003118 0.00013181 -0.32455871 0.33566529 4.62022244 0.00389222 0.79191930 0.22348022
2408.50666905 1.00018906 0.00013182 -0.34278294 0.00142607 1.77840101 0.00604334 0.65124633 0.24349976
2408.50708659 1.00044004 0.00013184 0.04664642 0.07143818 -1.05108260 0.00882354 0.63393944 0.24349976
2408.50750412 1.00003144 0.00013182 -0.14645420 0.04770618 -3.86289435 0.01282298 0.75796137 0.24349976
2408.50792165 0.99991114 0.00013181 -0.86142534 0.00976725 -6.65218615 0.01916322 0.50770186 0.24349976
2408.50833918 0.99991456 0.00013181 -0.12623440 0.07283735 -9.41381628 0.02116161 0.53162309 0.22348022
2408.50875672 1.00000371 0.00013182 -0.01099030 0.42618054 -12.14372142 0.02379858 0.60399680 0.24349976
2408.50917425 0.99998590 0.00013182 -0.68631423 0.24568814 -14.83825171 0.02528154 0.36058555 0.22348022
2408.50959178 0.99981874 0.00013181 -0.11854558 0.47342929 -17.49379223 0.02741265 0.47133189 0.24349976
2408.51000931 0.99947894 0.00013180 -0.09421726 0.46831697 -20.10766585 0.02917271 0.64226036 0.22348022
2408.51042685 0.99964648 0.00013180 -0.32722923 -0.11497377 -22.67790915 0.03224497 0.10554945 0.24349976
2408.51084438 0.99969968 0.00013181 -0.64414316 -0.16787300 -25.20277239 0.03927942 0.15753039 0.22348022
2408.51126191 0.99976019 0.00013181 -0.83028865 0.31812188 -27.68105240 0.03673412 0.32663174 0.22348022
2408.51167944 0.99981051 0.00013182 0.19578584 0.06815552 -30.11160236 0.03752767 0.27934603 0.20352173
2408.51209697 0.99997466 0.00013183 -0.58016759 0.21560608 -32.49500168 0.04076684 0.22673153 0.22348022
2408.51251450 0.99978670 0.00013181 -0.33180732 0.21565990 -34.83088880 0.03714452 0.13081729 0.22348022
2408.51293204 0.99958373 0.00013180 -0.79210871 0.06401184 -37.11975291 0.03768448 0.26357293 0.22348022
2408.51334957 0.99967074 0.00013181 -0.11992487 -0.00330957 -39.36236772 0.04085421 0.36916610 0.22348022
2408.51376710 0.99962874 0.00013181 -0.25747237 0.35412350 -41.55999865 0.04014405 0.26170234 0.24349976
2408.51418463 0.99990939 0.00013182 -0.21885225 -0.22922105 -43.71353044 0.03754953 0.26521605 0.24349976
2408.51460216 0.99972064 0.00013181 -0.01888454 0.44307816 -45.82529724 0.04006507 0.38077431 0.24349976
2408.51501970 0.99992624 0.00013182 -0.50955963 0.52019376 -47.89575773 0.03888822 0.23980172 0.20352173
2408.51543723 0.99961422 0.00013181 0.02404954 -0.12406834 -49.92760956 0.03804927 0.50198564 0.20352173
2408.51585476 0.99992328 0.00013182 0.07511262 0.11298265 -51.92247543 0.03054784 0.48073484 0.20352173
2408.51627229 0.99982202 0.00013181 -0.60440785 0.40939057 -53.88226170 0.03064197 0.39190537 0.22348022
2408.51668983 1.00012309 0.00013183 -0.62201583 0.12439123 -55.80898898 0.03082805 0.40267453 0.22348022
2408.51710736 1.00023091 0.00013184 -0.55833369 0.23514059 -57.70473775 0.03103778 0.42533490 0.20352173
2408.51752489 1.00011371 0.00013183 -0.20899180 -0.07746536 -59.57145742 0.02800435 0.45487506 0.23348999
2408.51794242 0.99999018 0.00013183 -0.76246864 0.26328534 -61.41143142 0.03196833 0.42860018 0.20352173
2408.51835996 0.99996748 0.00013183 -0.21016566 0.30961928 -63.22646122 0.03365007 0.42584555 0.20352173
2408.51877749 0.99980032 0.00013182 -0.21767840 -0.00051123 -65.01937460 0.03363800 0.45710680 0.20352173
2408.51919502 0.99982015 0.00013182 -0.00485686 0.44157138 -66.79136147 0.03261898 0.61106454 0.22348022
2408.51961255 1.00034155 0.00013185 -0.47152647 -0.12170053 -68.54524974 0.03022259 0.35850255 0.22348022
2408.52003009 0.99997273 0.00013182 -0.20233011 0.22044934 -70.28263935 0.02823749 0.29204716 0.22348022
2408.52044762 1.00021428 0.00013184 0.07138560 0.60021526 -72.00528625 0.02848428 0.47695675 0.22348022
2408.52086515 1.00011567 0.00013183 -0.55671966 -0.03845016 -73.71472844 0.02955334 0.42990294 0.22348022
2408.52128268 1.00023849 0.00013185 0.24910860 0.41676310 -75.41505583 0.03165206 0.56723650 0.21350098
2408.52170021 0.99997284 0.00013183 -0.60364485 -0.29578906 -77.10844988 0.02973840 0.52728569 0.24349976
2408.52211774 1.00011044 0.00013183 -0.76745754 0.31091079 -78.79600064 0.02938781 0.49798030 0.20352173
2408.52253527 1.00021288 0.00013184 -0.40702266 0.21964213 -80.47867037 0.02679252 0.53853520 0.22348022
2408.52295281 1.00020373 0.00013184 -0.19097298 0.44749093 -82.15989165 0.02820583 0.49181038 0.20352173
2408.52337034 1.00005984 0.00013183 -0.06589779 0.06627203 -83.84081602 0.02546651 0.55262721 0.22348022
2408.52378787 1.00013704 0.00013183 -0.60490674 0.17556842 -85.52318029 0.02565370 0.43254774 0.20352173
2408.52420540 1.00021876 0.00013184 -0.29547623 0.26694471 -87.21057221 0.02677621 0.43109639 0.22348022
2408.52462294 1.00037454 0.00013186 -0.18152338 -0.05911476 -88.90337845 0.03518751 0.48519085 0.22348022
