# time-2457000 flux       flux_err  
1468.27237969 0.99960446 0.00226242
1468.27376856 1.00361800 0.00226318
1468.27515744 1.00069034 0.00225955
1468.27654631 1.00427723 0.00226448
1468.27793519 1.00060105 0.00226101
1468.27932406 0.99981731 0.00226390
1468.28071293 1.00238109 0.00226311
1468.28210181 0.99929678 0.00226086
1468.28349068 1.00255120 0.00226222
1468.28487955 1.00242090 0.00226385
1468.28626843 0.99981445 0.00226245
1468.28765730 1.00083029 0.00226385
1468.28904617 0.99990350 0.00226115
1468.29043505 1.00112784 0.00226281
1468.29182392 0.99940491 0.00226125
1468.29321279 1.00038958 0.00226325
1468.29460167 1.00261891 0.00226237
1468.29599054 1.00065374 0.00226199
1468.29737941 0.99785191 0.00226108
1468.29876829 1.00045621 0.00226131
1468.30015716 1.00075877 0.00226148
1468.30154603 0.99998194 0.00226448
1468.30293491 0.99689496 0.00225908
1468.30432378 1.00195527 0.00226509
1468.30571265 1.00226545 0.00226503
1468.30710153 1.00088501 0.00226588
1468.30849040 1.00120699 0.00226647
1468.30987927 1.00362933 0.00226525
1468.31126815 0.99897391 0.00226416
1468.31265702 0.99930233 0.00226052
1468.31404589 0.99929184 0.00226111
1468.31543477 1.00150549 0.00226395
1468.31682364 1.00187206 0.00226561
1468.31821252 0.99832588 0.00226244
1468.31960139 1.00025511 0.00226267
1468.32099026 1.00123584 0.00226459
1468.32237914 1.00284207 0.00226440
1468.32376801 0.99929380 0.00226092
1468.32515688 1.00110924 0.00226267
1468.32654576 1.00262511 0.00226456
1468.32793463 0.99998623 0.00226346
1468.32932350 1.00018871 0.00226281
1468.33071238 1.00157154 0.00226389
1468.33210125 0.99953711 0.00226566
1468.33349012 1.00147414 0.00226419
1468.33487900 1.00134361 0.00226464
1468.33626787 0.99798292 0.00226209
1468.33765674 1.00015187 0.00226256
1468.33904562 1.00125062 0.00226374
1468.34043449 0.99903524 0.00226283
1468.34182336 1.00022149 0.00226307
1468.34321224 0.99740785 0.00226230
1468.34460111 1.00090730 0.00226671
1468.34598998 0.99941278 0.00226184
1468.34737886 0.99567276 0.00225970
1468.34876773 0.99650270 0.00226355
1468.35015660 1.00477409 0.00226770
1468.35154548 0.99706650 0.00226212
1468.35293435 1.00134754 0.00226725
1468.35432322 1.00085759 0.00226414
1468.35571210 0.99773633 0.00226298
1468.35710097 0.99926227 0.00226207
1468.35848984 0.99973822 0.00226324
1468.35987872 1.00092900 0.00226378
1468.36126759 0.99867415 0.00226330
1468.36265647 0.99798024 0.00225943
1468.36404534 0.99939811 0.00226158
1468.36543421 0.99945682 0.00226361
1468.36682309 0.99672675 0.00226030
1468.36821196 0.99676555 0.00226085
1468.36960083 1.00229084 0.00226422
1468.37098971 0.99500746 0.00225988
1468.37237858 0.99784815 0.00226244
1468.37376745 0.99733603 0.00225945
1468.37515633 0.99815214 0.00226051
1468.37654520 1.00079775 0.00226229
1468.38765619 1.00069010 0.00226432
1468.38904506 1.00057805 0.00226292
1468.39043393 0.99878985 0.00226127
1468.39182281 1.00135911 0.00226137
1468.39321168 0.99815857 0.00226166
1468.39460055 1.00046325 0.00226566
1468.39598943 1.00247788 0.00226738
1468.39737830 1.00285590 0.00226673
1468.39876717 1.00114834 0.00226386
1468.40015605 0.99942821 0.00225973
1468.40154492 0.99993658 0.00226295
1468.40293379 1.00424552 0.00226789
1468.40432267 0.99936652 0.00226334
1468.40571154 0.99894410 0.00225949
1468.40710041 1.00002229 0.00226272
1468.40848929 1.00139856 0.00226407
1468.40987816 1.00019193 0.00226459
1468.41126703 0.99585909 0.00225861
1468.41265591 0.99500746 0.00225856
1468.41404478 0.99985403 0.00226060
1468.41543365 1.00125635 0.00226241
1468.41682253 1.00236428 0.00226298
1468.41821140 0.99918520 0.00226161
1468.41960027 1.00014162 0.00226145
1468.42098915 0.99856496 0.00226096
1468.42237802 0.99920028 0.00226278
1468.42376690 1.00179088 0.00226416
1468.42515577 0.99920732 0.00226034
1468.42654464 0.99813884 0.00226026
1468.42793352 0.99824244 0.00225960
1468.42932239 0.99852812 0.00226060
1468.43071126 1.00058866 0.00226165
1468.43210014 1.00053144 0.00226182
1468.43348901 1.00287604 0.00226400
1468.43487788 0.99953121 0.00226316
1468.43626676 1.00145841 0.00226257
1468.43765563 1.00033796 0.00226233
1468.43904450 1.00421238 0.00226365
1468.44043338 0.99713302 0.00226002
1468.44182225 0.99891472 0.00226219
1468.44321112 1.00118637 0.00226383
1468.44460000 1.00025749 0.00226250
1468.44598887 1.00136220 0.00226398
1468.44737774 1.00311208 0.00226632
1468.44876662 0.99910104 0.00226147
1468.45015549 0.99808669 0.00226035
1468.45154436 0.99711788 0.00225971
1468.45293324 0.99744934 0.00226154
1468.45432211 0.99977368 0.00226068
1468.45571098 0.99723828 0.00226109
1468.45709986 1.00084507 0.00226364
1468.45848873 1.00142133 0.00226312
1468.45987760 1.00150907 0.00226395
1468.46126648 0.99586141 0.00225999
1468.46265535 1.00175524 0.00226528
1468.46404422 1.00007236 0.00226248
1468.46543310 0.99816388 0.00225940
1468.46682197 1.00417757 0.00226284
1468.46821084 0.99965823 0.00226186
1468.46959972 1.00326943 0.00226688
1468.47098859 0.99856108 0.00225919
1468.47237746 0.99650818 0.00226029
1468.47376634 1.00182688 0.00226765
1468.47515521 1.00110638 0.00226167
1468.47654408 0.99957544 0.00226229
1468.47793296 1.00155926 0.00226198
1468.47932183 1.00198436 0.00226150
1468.48071070 0.99742502 0.00225796
1468.48209958 0.99875885 0.00226224
1468.48348845 0.99907416 0.00226044
1468.48487732 1.00175834 0.00226447
1468.48626620 0.99804616 0.00226182
1468.48765507 0.99929607 0.00226058
1468.48904394 0.99768388 0.00226107
1468.49043282 1.00175214 0.00226187
1468.49182169 1.00215018 0.00226359
1468.49321056 1.00290072 0.00226390
1468.49459944 1.00194931 0.00226252
1468.49598831 1.00174260 0.00226252
1468.49737718 1.00136781 0.00226249
1468.49876606 1.00489354 0.00226397
1468.50015493 0.99954289 0.00226187
1468.50154380 1.00080705 0.00226288
1468.50293268 0.99950367 0.00226335
1468.50432155 1.00159335 0.00226199
1468.50571042 1.00021875 0.00226115
1468.50709930 1.00257492 0.00226265
1468.50848817 1.00331342 0.00226508
1468.50987704 0.99563599 0.00225744
1468.51126592 0.99876386 0.00225768
1468.51265479 0.99940574 0.00226224
1468.51404366 1.00191724 0.00226235
1468.51543254 0.99761248 0.00226286
1468.51682141 0.99691027 0.00226126
1468.51821028 0.99995476 0.00226165
1468.51959916 0.99543577 0.00225745
1468.52098803 0.99673319 0.00226047
1468.52237690 0.99924320 0.00226158
1468.52376578 0.99799335 0.00226161
1468.52515465 0.99836725 0.00225998
1468.52654352 1.00030255 0.00226212
1468.52793240 1.00411797 0.00226599
1468.52932127 0.99885207 0.00226043
1468.53071014 1.00099587 0.00225966
1468.53209902 0.99995762 0.00226042
1468.53348789 0.99945587 0.00226254
1468.53487676 0.99886626 0.00226234
