# time-2457000 flux       flux_err  
1468.27651564 1.00036860 0.00053309
1468.27790455 1.00114310 0.00053328
1468.27929346 1.00014937 0.00053307
1468.28068238 0.99929446 0.00053273
1468.28207129 0.99947828 0.00053298
1468.28346020 1.00091040 0.00053299
1468.28484911 0.99950624 0.00053289
1468.28623802 1.00007200 0.00053314
1468.28762693 1.00099885 0.00053318
1468.28901584 1.00094378 0.00053314
1468.29040475 0.99999839 0.00053295
1468.29179366 1.00023532 0.00053314
1468.29318257 1.00044918 0.00053310
1468.29457148 1.00076592 0.00053326
1468.29596039 0.99979770 0.00053303
1468.29734930 0.99995267 0.00053297
1468.29873821 0.99975169 0.00053272
1468.30012712 1.00031137 0.00053308
1468.30151603 0.99941802 0.00053291
1468.30290494 0.99980408 0.00053290
1468.30429385 1.00068402 0.00053319
1468.30568276 1.00020051 0.00053317
1468.30707167 1.00050485 0.00053307
1468.30846058 1.00025833 0.00053319
1468.30984949 0.99983436 0.00053289
1468.31123840 0.99997908 0.00053287
1468.31262731 1.00066280 0.00053321
1468.31401622 1.00035799 0.00053306
1468.31540514 1.00029469 0.00053320
1468.31679405 1.00065517 0.00053326
1468.31818296 0.99949896 0.00053294
1468.31957187 1.00095892 0.00053322
1468.32096078 0.99921012 0.00053293
1468.32234969 0.99954063 0.00053276
1468.32373860 1.00079429 0.00053329
1468.32512751 0.99984676 0.00053314
1468.32651642 0.99944186 0.00053282
1468.32790533 1.00084448 0.00053329
1468.32929424 0.99947667 0.00053303
1468.33068315 0.99961907 0.00053302
1468.33207206 1.00004721 0.00053315
1468.33346097 1.00013804 0.00053317
1468.33484988 1.00014746 0.00053332
1468.33623879 0.99949819 0.00053311
1468.33762770 1.00072765 0.00053320
1468.33901661 0.99951792 0.00053295
1468.34040552 1.00078332 0.00053318
1468.34179443 1.00026572 0.00053298
1468.34318334 1.00008523 0.00053316
1468.34457225 0.99937975 0.00053294
1468.34596116 1.00060213 0.00053328
1468.34735007 0.99913442 0.00053277
1468.34873898 1.00045288 0.00053309
1468.35012789 0.99960393 0.00053286
1468.35151680 1.00007796 0.00053300
1468.35290571 1.00070548 0.00053324
1468.35429462 0.99912882 0.00053312
1468.35568353 0.99960053 0.00053301
1468.35707244 0.99871576 0.00053286
1468.35846135 1.00085449 0.00053339
1468.35985026 0.99902022 0.00053303
1468.36123917 1.00005233 0.00053308
1468.36262808 0.99901378 0.00053303
1468.36401699 0.99980491 0.00053298
1468.36540590 0.99940121 0.00053291
1468.36679481 1.00096560 0.00053354
1468.36818372 1.00024962 0.00053311
1468.36957263 0.99918461 0.00053293
1468.37096154 0.99945289 0.00053303
1468.37235045 1.00032055 0.00053327
1468.37373937 1.00002515 0.00053303
1468.37512828 0.99977654 0.00053298
1468.37651719 1.00127232 0.00053350
1468.37790610 1.00053048 0.00053321
1468.37929501 0.99944997 0.00053302
1468.38068392 0.99955422 0.00053293
1468.39179520 1.00045383 0.00053319
1468.39318411 1.00011861 0.00053301
1468.39457302 1.00011790 0.00053301
1468.39596193 0.99972516 0.00053279
1468.39735084 1.00017977 0.00053309
1468.39873975 0.99919713 0.00053294
1468.40012866 0.99939340 0.00053295
1468.40151757 0.99980921 0.00053306
1468.40290648 1.00010312 0.00053319
1468.40429539 1.00059986 0.00053306
1468.40568430 0.99899596 0.00053289
1468.40707321 1.00087094 0.00053327
1468.40846212 0.99988425 0.00053302
1468.40985103 0.99924040 0.00053283
1468.41123994 1.00082326 0.00053309
1468.41262885 1.00062144 0.00053314
1468.41401776 0.99952537 0.00053301
1468.41540667 0.99982554 0.00053294
1468.41679558 1.00004840 0.00053301
1468.41818449 0.99921077 0.00053298
1468.41957340 0.99907941 0.00053290
1468.42096231 0.99966210 0.00053310
1468.42235122 0.99974835 0.00053316
1468.42374013 1.00104702 0.00053339
1468.42512904 1.00039816 0.00053310
1468.42651795 1.00060785 0.00053311
1468.42790686 0.99971122 0.00053302
1468.42929577 1.00023222 0.00053309
1468.43068468 1.00030255 0.00053314
1468.43207359 1.00049388 0.00053304
1468.43346250 0.99983716 0.00053303
1468.43485141 1.00038075 0.00053308
1468.43624032 1.00023794 0.00053311
1468.43762923 0.99958837 0.00053293
1468.43901814 1.00080895 0.00053319
1468.44040705 0.99948287 0.00053297
1468.44179596 1.00031209 0.00053331
1468.44318487 1.00145698 0.00053337
1468.44457378 0.99939567 0.00053287
1468.44596269 1.00073588 0.00053323
1468.44735160 0.99916375 0.00053288
1468.44874051 0.99930525 0.00053285
1468.45012942 1.00040925 0.00053313
1468.45151833 0.99957436 0.00053294
1468.45290724 0.99992096 0.00053295
1468.45429615 1.00047517 0.00053305
1468.45568506 0.99960321 0.00053289
1468.45707397 1.00072551 0.00053318
1468.45846288 0.99912322 0.00053286
1468.45985179 0.99860692 0.00053272
1468.46124070 0.99962056 0.00053300
1468.46262961 0.99972463 0.00053299
1468.46401852 0.99946791 0.00053294
1468.46540743 1.00119257 0.00053327
1468.46679633 0.99943864 0.00053288
1468.46818524 0.99958938 0.00053306
1468.46957415 0.99990612 0.00053292
1468.47096306 1.00051165 0.00053297
1468.47235197 1.00106752 0.00053318
1468.47374088 0.99935913 0.00053295
1468.47512979 0.99980408 0.00053300
1468.47651870 1.00012124 0.00053291
1468.47790761 1.00054789 0.00053319
1468.47929652 1.00001800 0.00053308
1468.48068543 1.00115490 0.00053335
1468.48207434 1.00021088 0.00053315
1468.48346325 1.00000465 0.00053310
1468.48485216 0.99964046 0.00053280
1468.48624107 1.00117731 0.00053343
1468.48762998 1.00069427 0.00053312
1468.48901889 1.00036025 0.00053311
1468.49040780 0.99898517 0.00053272
1468.49179671 1.00019729 0.00053327
1468.49318562 1.00026536 0.00053309
1468.49457453 0.99963886 0.00053296
1468.49596344 1.00015974 0.00053304
