#Time	RV	RVerr	BIS	FWHM	logRHK	FWHMerr	BISerr	logRHKerr
2210.702206	81728.43	0.27	-67.75	6674.93	-5.15	0.55	0.55	0.0
2271.610597000001	81725.24	0.31	-69.8	6679.71	-5.29	0.62	0.62	0.0
2292.636622	81726.03	0.32	-67.02	6678.49	-5.34	0.63	0.63	0.0
2297.5434060000007	81723.08	0.25	-65.01	6674.31	-5.22	0.5	0.5	0.0
2308.586832000001	81728.94	0.38	-66.62	6676.01	-5.38	0.77	0.77	0.0
2311.5247990000007	81727.62	0.37	-66.85	6680.99	-5.29	0.74	0.74	0.0
2314.5039780000006	81731.62	0.41	-65.49	6678.74	-5.34	0.81	0.81	0.0
2316.5388239999993	81733.79	0.49	-65.67	6673.21	-5.46	0.99	0.99	0.0
2319.526314999999	81734.2	0.3	-65.43	6674.49	-5.25	0.6	0.6	0.0
2322.537378000001	81724.98	0.37	-68.36	6672.55	-5.31	0.73	0.73	0.0
2323.4629700000005	81723.33	0.39	-65.95	6676.22	-5.34	0.79	0.79	0.0
2325.500282000001	81727.66	0.45	-66.57	6670.68	-5.34	0.91	0.91	0.0
2333.4861340000007	81736.81	0.43	-67.13	6682.57	-5.31	0.85	0.85	0.0
2459.8649860000005	81729.04	0.33	-63.62	6695.25	-5.2	0.67	0.67	0.0
2461.8935820000006	81733.35	0.3	-59.97	6691.33	-5.14	0.6	0.6	0.0
2464.8205780000008	81732.78	0.42	-60.58	6685.37	-5.3	0.84	0.84	0.0
2466.8771639999995	81732.89	0.26	-61.62	6679.74	-5.21	0.52	0.52	0.0
2471.8736320000007	81727.38	0.31	-67.83	6676.67	-5.24	0.63	0.63	0.0
2491.819141	81730.93	0.33	-68.48	6679.05	-5.19	0.65	0.65	0.0
2493.8677559999996	81736.29	0.5	-67.38	6684.76	-5.37	1.0	1.0	0.0
2496.759	81732.75	0.54	-62.76	6689.72	-5.43	1.09	1.09	0.0
2509.7029199999997	81726.17	0.36	-67.23	6680.48	-5.18	0.72	0.72	0.0
2514.7575579999993	81725.6	0.4	-65.9	6670.68	-5.22	0.81	0.81	0.0
2516.8460219999997	81725.83	0.26	-68.41	6674.79	-5.18	0.52	0.52	0.0
2522.788552	81726.88	0.23	-66.42	6677.84	-5.16	0.46	0.46	0.0
2529.7668840000006	81723.33	0.29	-66.4	6676.66	-5.2	0.58	0.58	0.0
2531.7833339999997	81733.24	0.31	-67.01	6676.43	-5.21	0.62	0.62	0.0
2533.799604	81730.25	0.22	-66.46	6681.51	-5.11	0.45	0.45	0.0
2536.660099999999	81729.13	0.35	-64.53	6682.03	-5.21	0.7	0.7	0.0
