# time-2457000 flux       flux_err  
1491.63450126 1.00290573 0.00099943
1491.63589017 1.00320482 0.00099933
1491.63727908 1.00506699 0.00099932
1491.63866798 1.00466049 0.00099920
1491.64005689 1.00573862 0.00099856
1491.64144580 1.00189745 0.00099744
1491.64283470 1.00303769 0.00099776
1491.64422361 1.00260675 0.00099666
1491.64561252 1.00399017 0.00099738
1491.64700142 1.00408423 0.00099709
1491.64839033 1.00375402 0.00099690
1491.64977924 1.00347626 0.00099644
1491.65116814 1.00582123 0.00099680
1491.65255705 1.00247347 0.00099571
1491.65394596 1.00450528 0.00099584
1491.65533486 1.00264609 0.00099540
1491.65672377 1.00437510 0.00099551
1491.65811268 1.00394106 0.00099519
1491.65950158 1.00394106 0.00099469
1491.66089049 1.00240481 0.00099410
1491.66227940 1.00469470 0.00099470
1491.66366830 1.00315976 0.00099342
1491.66505721 1.00326693 0.00099367
1491.66644612 1.00474739 0.00099390
1491.66783502 1.00317705 0.00099339
1491.66922393 1.00605059 0.00099391
1491.67061283 1.00306153 0.00099268
1491.67200174 1.00563097 0.00099330
1491.67339065 1.00585186 0.00099320
1491.67477955 1.00397837 0.00099220
1491.67616846 1.00471485 0.00099258
1491.67755737 1.00771880 0.00099277
1491.67894627 1.00539362 0.00099224
1491.68033518 1.00417066 0.00099112
1491.68172409 1.00504351 0.00099113
1491.68311299 1.00506842 0.00099128
1491.68450190 1.00265348 0.00098990
1491.68589081 1.00456047 0.00099076
1491.68727971 1.00605857 0.00099116
1491.68866862 1.00404692 0.00099028
1491.69005753 1.00276411 0.00098962
1491.69144643 1.00383198 0.00098925
1491.69283534 1.00270772 0.00098902
1491.69422425 1.00445366 0.00098923
1491.69561315 1.00285220 0.00098861
1491.69700206 1.00395823 0.00098912
1491.69839097 1.00651598 0.00098933
1491.69977987 1.00434005 0.00098885
1491.70116878 1.00217891 0.00098773
1491.70255769 1.00455940 0.00098831
1491.70394659 1.00376201 0.00098776
1491.70533550 1.00527215 0.00098797
1491.70672441 1.00349605 0.00098725
1491.70811331 1.00332928 0.00098744
1491.70950222 1.00421798 0.00098731
1491.71089113 1.00342607 0.00098693
1491.71228003 1.00550926 0.00098670
1491.71366894 1.00488615 0.00098714
1491.71505785 1.00539565 0.00098745
1491.71644675 1.00354254 0.00098608
1491.71783566 1.00577450 0.00098686
1491.71922457 1.00652683 0.00098682
1491.72061347 1.00373614 0.00098546
1491.72200238 1.00245154 0.00098547
1491.72339129 1.00419295 0.00098579
1491.72478019 1.00223196 0.00098430
1491.72616910 1.00612330 0.00098573
1491.72755801 1.00255060 0.00098454
1491.72894691 1.00333941 0.00098429
1491.73033582 1.00367284 0.00098456
1491.73172473 1.00489426 0.00098462
1491.73311363 1.00482690 0.00098425
1491.73450254 1.00443339 0.00098407
1491.73589145 1.00154090 0.00098318
1491.73728035 1.00132823 0.00098301
1491.73866926 1.00519669 0.00098390
1491.74005816 1.00112665 0.00098243
1491.74144707 1.00459421 0.00098322
1491.74283598 1.00459599 0.00098308
1491.74422488 1.00337732 0.00098264
1491.74561379 1.00591683 0.00098337
1491.74700270 1.00230551 0.00098230
1491.74839160 1.00504887 0.00098292
1491.74978051 1.00434947 0.00098206
1491.75116942 1.00532854 0.00098309
1491.75255832 1.00328827 0.00098191
1491.75394723 1.00387979 0.00098191
1491.75533614 1.00344026 0.00098173
1491.75672504 1.00412631 0.00098217
1491.75811395 1.00089324 0.00098059
1491.75950286 1.00429571 0.00098150
1491.76089176 1.00495589 0.00098129
1491.76228067 1.00595748 0.00098174
1491.76366958 1.00539255 0.00098211
1491.76505848 1.00604928 0.00098182
1491.76644739 1.00073206 0.00098009
1491.76783630 1.00295782 0.00098055
1491.76922520 1.00490117 0.00098071
1491.77061411 1.00530589 0.00098108
1491.77200302 1.00343752 0.00097976
1491.77339192 1.00511146 0.00098060
1491.77478083 1.00573325 0.00098032
1491.77616974 1.00365782 0.00097936
1491.77755864 1.00457692 0.00098063
1491.77894755 1.00152481 0.00097869
1491.78033646 1.00087905 0.00097830
1491.78172536 1.00377655 0.00097915
1491.78311427 1.00440323 0.00097956
1491.78450318 1.00162196 0.00097827
1491.78589208 1.00411630 0.00097893
1491.78728099 1.00273883 0.00097844
1491.78866990 1.00516498 0.00097931
1491.79005880 1.00510108 0.00097874
1491.79144771 1.00294387 0.00097816
1491.79283662 1.00379431 0.00097863
1491.79422552 1.00485170 0.00097857
1491.79561443 1.00161111 0.00097777
1491.79700334 1.00374269 0.00097804
1491.79839224 1.00182259 0.00097718
1491.79978115 1.00297749 0.00097737
1491.80117006 1.00542903 0.00097788
1491.80255896 1.00333393 0.00097721
1491.80394787 1.00349426 0.00097700
1491.80533678 1.00569832 0.00097805
1491.80672568 1.00289237 0.00097771
1491.80811459 1.00552011 0.00097758
1491.80950350 1.00270343 0.00097661
1491.81089240 1.00360334 0.00097684
1491.81228131 1.00348747 0.00097696
1491.81367022 1.00610352 0.00097723
1491.81505912 1.00468481 0.00097634
1491.81644803 1.00023139 0.00097485
1491.81783694 1.00339592 0.00097645
1491.81922584 1.00230205 0.00097546
1491.82061475 1.00377011 0.00097606
