8209.555598 1.007264  0.000705   2.43   4.48  1.20 15.11   284.40    45.00
8209.556263 1.006767  0.000704   0.52   2.49  1.20 15.71   284.47    45.00
8209.556931 1.007128  0.000704   0.46   2.78  1.20 15.02   284.95    45.00
8209.557602 1.007728  0.000705   1.63   1.94  1.20 15.46   283.68    45.00
8209.558277 1.005616  0.000697   1.94   1.78  1.19 15.98   285.25    45.00
8209.558947 1.006977  0.000698   0.34   0.77  1.19 15.54   283.01    45.00
8209.559617 1.006313  0.000697   0.83   0.50  1.19 15.58   281.55    45.00
8209.560289 1.006909  0.000697   0.77  -1.47  1.19 15.55   281.48    45.00
8209.560961 1.006984  0.000698   0.64  -0.78  1.19 15.13   281.87    45.00
8209.561633 1.007273  0.000691   0.26   1.48  1.18 15.56   280.41    45.00
8209.562304 1.006937  0.000691   0.61   1.05  1.18 15.92   280.49    45.00
8209.562976 1.007632  0.000692  -2.02   0.91  1.18 15.31   280.04    45.00
8209.563645 1.008532  0.000692  -2.03   0.03  1.18 16.39   280.41    45.00
8209.564316 1.005976  0.000690  -2.11  -2.68  1.18 16.72   278.96    45.00
8209.564987 1.006963  0.000691  -2.29  -1.90  1.18 16.29   278.01    45.00
8209.565658 1.006085  0.000684   1.43   1.33  1.17 16.49   278.35    45.00
8209.566330 1.006458  0.000684   1.13   1.91  1.17 16.25   279.11    45.00
8209.567000 1.007194  0.000685  -0.54   0.40  1.17 16.69   280.66    45.00
8209.567674 1.008580  0.000686  -1.46   1.13  1.17 15.49   280.88    45.00
8209.568345 1.008403  0.000686  -0.64   0.10  1.17 15.17   282.10    45.00
8209.569015 1.006670  0.000678   0.48   0.23  1.16 15.57   282.26    45.00
8209.569689 1.007301  0.000678   1.28   0.77  1.16 15.28   281.84    45.00
8209.570358 1.006980  0.000678   2.12   0.41  1.16 15.48   281.55    45.00
8209.571030 1.007620  0.000678   0.34  -0.37  1.16 15.63   280.36    45.00
8209.571701 1.006361  0.000678   0.32  -0.26  1.16 16.28   280.04    45.00
8209.572374 1.007428  0.000678  -0.90  -0.49  1.16 15.11   279.42    45.00
8209.573047 1.006022  0.000671  -0.17  -0.46  1.15 16.67   279.19    45.00
