    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.555598   1.007264   0.000705   1.007134   1.007134   1.000000   1.000129
8209.556263   1.006767   0.000704   1.006867   1.006867   1.000000   0.999900
8209.556931   1.007128   0.000704   1.007201   1.007201   1.000000   0.999928
8209.557602   1.007728   0.000705   1.007013   1.007013   1.000000   1.000710
8209.558277   1.005616   0.000697   1.006785   1.006785   1.000000   0.998838
8209.558947   1.006977   0.000698   1.007013   1.007013   1.000000   0.999964
8209.559617   1.006313   0.000697   1.007015   1.007015   1.000000   0.999303
8209.560289   1.006909   0.000697   1.007054   1.007054   1.000000   0.999856
8209.560961   1.006984   0.000698   1.007275   1.007275   1.000000   0.999711
8209.561633   1.007273   0.000691   1.007102   1.007102   1.000000   1.000170
8209.562304   1.006937   0.000691   1.006958   1.006958   1.000000   0.999979
8209.562976   1.007632   0.000692   1.007272   1.007272   1.000000   1.000358
8209.563645   1.008532   0.000692   1.006778   1.006778   1.000000   1.001742
8209.564316   1.005976   0.000690   1.006633   1.006633   1.000000   0.999347
8209.564987   1.006963   0.000691   1.006868   1.006868   1.000000   1.000094
8209.565658   1.006085   0.000684   1.006788   1.006788   1.000000   0.999301
8209.566330   1.006458   0.000684   1.006926   1.006926   1.000000   0.999535
8209.567000   1.007194   0.000685   1.006724   1.006724   1.000000   1.000467
8209.567674   1.008580   0.000686   1.007323   1.007323   1.000000   1.001248
8209.568345   1.008403   0.000686   1.007483   1.007483   1.000000   1.000913
8209.569015   1.006670   0.000678   1.007307   1.007307   1.000000   0.999368
8209.569689   1.007301   0.000678   1.007449   1.007449   1.000000   0.999853
8209.570358   1.006980   0.000678   1.007364   1.007364   1.000000   0.999619
8209.571030   1.007620   0.000678   1.007300   1.007300   1.000000   1.000318
8209.571701   1.006361   0.000678   1.006993   1.006993   1.000000   0.999372
8209.572374   1.007428   0.000678   1.007557   1.007557   1.000000   0.999872
8209.573047   1.006022   0.000671   1.006817   1.006817   1.000000   0.999211
8209.573721   1.006175   0.000672   1.007034   1.007034   1.000000   0.999147
8209.574394   1.007220   0.000673   1.007057   1.007057   1.000000   1.000162
8209.575072   1.007781   0.000673   1.007571   1.007571   1.000000   1.000209
8209.575749   1.006533   0.000672   1.007101   1.007101   1.000000   0.999436
8209.576407   1.008181   0.000673   1.006887   1.006887   1.000000   1.001285
8209.577080   1.007724   0.000672   1.006808   1.006808   1.000000   1.000910
8209.577751   1.007394   0.000666   1.007625   1.007625   1.000000   0.999770
8209.578426   1.007778   0.000666   1.007665   1.007665   1.000000   1.000113
8209.579102   1.008065   0.000666   1.007151   1.007151   1.000000   1.000908
8209.579775   1.006749   0.000665   1.007555   1.007555   1.000000   0.999200
8209.580446   1.008161   0.000666   1.007792   1.007792   1.000000   1.000367
8209.581107   1.007758   0.000666   1.007106   1.007106   1.000000   1.000647
8209.581777   1.007888   0.000666   1.007299   1.007299   1.000000   1.000585
8209.582456   1.007936   0.000666   1.007543   1.007543   1.000000   1.000390
8209.583132   1.006894   0.000659   1.007426   1.007426   1.000000   0.999472
8209.583906   1.008765   0.000661   1.007376   1.007376   1.000000   1.001379
8209.584580   1.006713   0.000660   1.006835   1.006835   1.000000   0.999879
8209.585259   1.005062   0.000659   1.006684   1.006684   1.000000   0.998389
8209.585934   1.006784   0.000660   1.007100   1.007100   1.000000   0.999686
8209.586604   1.007314   0.000660   1.007009   1.007009   1.000000   1.000302
8209.587264   1.006081   0.000659   1.007227   1.007227   1.000000   0.998862
8209.587935   1.006796   0.000659   1.007342   1.007342   1.000000   0.999458
8209.588605   1.006478   0.000659   1.007090   1.007090   1.000000   0.999392
8209.589280   1.005981   0.000653   1.006844   1.006844   1.000000   0.999143
8209.589949   1.007376   0.000654   1.007209   1.007209   1.000000   1.000166
8209.590608   1.006501   0.000653   1.007267   1.007267   1.000000   0.999240
8209.591283   1.007983   0.000654   1.006995   1.006995   1.000000   1.000981
8209.591958   1.007447   0.000654   1.007348   1.007348   1.000000   1.000098
8209.592634   1.008403   0.000654   1.007648   1.007648   1.000000   1.000749
8209.593311   1.007691   0.000654   1.007438   1.007438   1.000000   1.000251
8209.594021   1.008001   0.000654   1.008063   1.008063   1.000000   0.999939
8209.594694   1.008245   0.000654   1.008499   1.008499   1.000000   0.999749
8209.595369   1.008173   0.000654   1.008312   1.008312   1.000000   0.999862
8209.596042   1.009648   0.000655   1.008475   1.008475   1.000000   1.001163
8209.596715   1.008038   0.000648   1.008312   1.008312   1.000000   0.999728
8209.597387   1.007594   0.000648   1.008151   1.008151   1.000000   0.999448
8209.598065   1.008785   0.000648   1.008391   1.008391   1.000000   1.000391
8209.598736   1.008909   0.000648   1.008518   1.008518   1.000000   1.000387
8209.599408   1.009442   0.000649   1.008243   1.008243   1.000000   1.001189
8209.600078   1.008337   0.000648   1.008177   1.008177   1.000000   1.000159
8209.600748   1.007315   0.000647   1.008081   1.008081   1.000000   0.999240
8209.601427   1.007651   0.000647   1.008068   1.008068   1.000000   0.999587
8209.602103   1.007260   0.000647   1.007231   1.007231   1.000000   1.000029
8209.602773   1.009765   0.000649   1.007731   1.007731   1.000000   1.002018
8209.603447   1.007708   0.000648   1.007165   1.007165   1.000000   1.000539
8209.604121   1.008580   0.000649   1.007477   1.007477   1.000000   1.001095
8209.604792   1.006455   0.000647   1.007492   1.007492   1.000000   0.998970
8209.605465   1.004894   0.000647   1.007186   1.007195   0.999991   0.997716
8209.606142   1.006431   0.000647   1.007208   1.007294   0.999914   0.999143
8209.606813   1.006135   0.000647   1.007005   1.007216   0.999791   0.998926
8209.607484   1.005797   0.000647   1.006563   1.006935   0.999631   0.998870
8209.608157   1.007971   0.000642   1.006686   1.007251   0.999440   1.000715
8209.608828   1.006057   0.000640   1.007076   1.007860   0.999222   0.998211
8209.609499   1.007774   0.000642   1.006204   1.007232   0.998980   1.000538
8209.610169   1.006086   0.000641   1.005704   1.006997   0.998716   0.999095
8209.610841   1.004661   0.000640   1.005283   1.006862   0.998432   0.997814
