    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.555598   1.007264   0.000705   1.007697   1.007697   1.000000   0.999571
8209.556263   1.006767   0.000704   1.007357   1.007357   1.000000   0.999414
8209.556931   1.007128   0.000704   1.007666   1.007666   1.000000   0.999466
8209.557602   1.007728   0.000705   1.007412   1.007412   1.000000   1.000313
8209.558277   1.005616   0.000697   1.007134   1.007134   1.000000   0.998493
8209.558947   1.006977   0.000698   1.007331   1.007331   1.000000   0.999649
8209.559617   1.006313   0.000697   1.007291   1.007291   1.000000   0.999029
8209.560289   1.006909   0.000697   1.007309   1.007309   1.000000   0.999603
8209.560961   1.006984   0.000698   1.007529   1.007529   1.000000   0.999459
8209.561633   1.007273   0.000691   1.007317   1.007317   1.000000   0.999956
8209.562304   1.006937   0.000691   1.007146   1.007146   1.000000   0.999792
8209.562976   1.007632   0.000692   1.007474   1.007474   1.000000   1.000157
8209.563645   1.008532   0.000692   1.006920   1.006920   1.000000   1.001601
8209.564316   1.005976   0.000690   1.006726   1.006726   1.000000   0.999255
8209.564987   1.006963   0.000691   1.006983   1.006983   1.000000   0.999980
8209.565658   1.006085   0.000684   1.006885   1.006885   1.000000   0.999206
8209.566330   1.006458   0.000684   1.007043   1.007043   1.000000   0.999419
8209.567000   1.007194   0.000685   1.006813   1.006813   1.000000   1.000378
8209.567674   1.008580   0.000686   1.007487   1.007487   1.000000   1.001085
8209.568345   1.008403   0.000686   1.007661   1.007661   1.000000   1.000737
8209.569015   1.006670   0.000678   1.007467   1.007467   1.000000   0.999209
8209.569689   1.007301   0.000678   1.007610   1.007610   1.000000   0.999694
8209.570358   1.006980   0.000678   1.007510   1.007510   1.000000   0.999474
8209.571030   1.007620   0.000678   1.007426   1.007426   1.000000   1.000192
8209.571701   1.006361   0.000678   1.007077   1.007077   1.000000   0.999289
8209.572374   1.007428   0.000678   1.007689   1.007689   1.000000   0.999741
8209.573047   1.006022   0.000671   1.006862   1.006862   1.000000   0.999166
8209.573721   1.006175   0.000672   1.007123   1.007123   1.000000   0.999059
8209.574394   1.007220   0.000673   1.007158   1.007158   1.000000   1.000061
8209.575072   1.007781   0.000673   1.007720   1.007720   1.000000   1.000060
8209.575749   1.006533   0.000672   1.007212   1.007212   1.000000   0.999326
8209.576407   1.008181   0.000673   1.006966   1.006966   1.000000   1.001207
8209.577080   1.007724   0.000672   1.006876   1.006876   1.000000   1.000843
8209.577751   1.007394   0.000666   1.007791   1.007791   1.000000   0.999606
8209.578426   1.007778   0.000666   1.007846   1.007846   1.000000   0.999933
8209.579102   1.008065   0.000666   1.007295   1.007295   1.000000   1.000765
