    # time       flux      error   full_mod       base    transit   det_flux
8558.484523   1.000618   0.000943   1.000004   1.000004   1.000000   1.000614
8558.485912   0.999183   0.000943   1.000004   1.000004   1.000000   0.999179
8558.487301   0.998974   0.000943   1.000004   1.000004   1.000000   0.998970
8558.488690   0.999993   0.000943   1.000004   1.000004   1.000000   0.999989
8558.490078   1.001728   0.000943   1.000004   1.000004   1.000000   1.001724
8558.491467   0.998725   0.000942   1.000004   1.000004   1.000000   0.998721
8558.492856   1.001036   0.000943   1.000004   1.000004   1.000000   1.001032
8558.494245   1.001011   0.000943   1.000004   1.000004   1.000000   1.001007
8558.495634   1.000087   0.000943   1.000004   1.000004   1.000000   1.000083
8558.497023   1.001271   0.000944   1.000004   1.000004   1.000000   1.001267
8558.498412   0.999061   0.000942   1.000004   1.000004   1.000000   0.999057
8558.499800   1.001013   0.000944   1.000004   1.000004   1.000000   1.001009
8558.501189   1.000540   0.000943   1.000004   1.000004   1.000000   1.000536
8558.502578   1.002002   0.000944   1.000004   1.000004   1.000000   1.001998
8558.503967   1.000512   0.000942   1.000004   1.000004   1.000000   1.000508
8558.505356   0.999257   0.000942   1.000004   1.000004   1.000000   0.999253
8558.506745   0.999282   0.000943   1.000004   1.000004   1.000000   0.999278
8558.508134   0.999647   0.000942   1.000004   1.000004   1.000000   0.999643
8558.509523   1.000042   0.000942   1.000004   1.000004   1.000000   1.000038
8558.510911   1.000535   0.000942   1.000004   1.000004   1.000000   1.000531
8558.512300   0.999295   0.000943   1.000004   1.000004   1.000000   0.999291
8558.513689   0.999787   0.000943   1.000004   1.000004   1.000000   0.999783
8558.515078   1.001121   0.000943   1.000004   1.000004   1.000000   1.001117
8558.516467   1.000101   0.000942   1.000004   1.000004   1.000000   1.000097
8558.517856   0.999328   0.000943   1.000004   1.000004   1.000000   0.999324
8558.519245   0.999900   0.000943   1.000004   1.000004   1.000000   0.999896
8558.520633   1.000407   0.000943   1.000004   1.000004   1.000000   1.000403
8558.522022   1.001160   0.000942   1.000004   1.000004   1.000000   1.001156
8558.523411   0.999604   0.000941   1.000004   1.000004   1.000000   0.999600
8558.524800   1.001873   0.000942   1.000004   1.000004   1.000000   1.001869
8558.526189   0.999805   0.000942   1.000004   1.000004   1.000000   0.999801
8558.527578   1.000000   0.000942   1.000004   1.000004   1.000000   0.999996
8558.528967   0.998187   0.000942   1.000004   1.000004   1.000000   0.998183
8558.530356   1.000078   0.000943   1.000004   1.000004   1.000000   1.000074
8558.531744   0.999128   0.000941   1.000004   1.000004   1.000000   0.999124
