#time			flux		fluxerr		x			y		roll		contam			bg			smear
2256.10335972 1.00018469 0.00032590 0.13110520 0.74512378 359.09603982 -0.17319010 0.00001552 0.00114380
2256.10405451 1.00074985 0.00032599 0.44840571 0.32480261 355.68653748 -0.27796351 0.00001529 0.00151941
2256.10474930 1.00006030 0.00032588 0.09631824 -0.01016072 352.28634325 -0.13821981 0.00001545 0.00109091
2256.10544409 1.00076381 0.00032600 0.10821505 -0.42957183 348.89161645 -0.13854935 0.00001538 0.00117889
2256.10613889 0.99992266 0.00032586 0.03017956 -0.49317436 345.49860540 -0.18972141 0.00001563 0.00134533
2256.10683368 0.99907476 0.00032572 -0.25177554 -0.45067768 342.10353985 -0.20297657 0.00001584 0.00134196
2256.10752848 0.99956964 0.00032580 -0.23221932 -0.40075030 338.70271727 -0.16797791 0.00001581 0.00130382
2256.10822327 0.99994712 0.00032586 -0.32586030 -0.13891153 335.29237185 -0.15295106 0.00001641 0.00127429
2256.10891806 0.99947400 0.00032579 -0.02016957 -0.13964488 331.86891833 -0.10788628 0.00001541 0.00106910
2256.10961285 1.00005342 0.00032588 0.01883178 -0.12572933 328.42901535 -0.14086816 0.00001557 0.00114686
2256.11030764 0.99968742 0.00032582 -0.03410072 -0.21957533 324.96925544 -0.16972782 0.00001553 0.00126558
2256.11100244 0.99963665 0.00032581 0.22676617 -0.19365605 321.48658916 -0.27844168 0.00001565 0.00165710
2256.11169723 0.99914144 0.00032573 -0.21748694 -0.19588635 317.97847058 -0.16015146 0.00001572 0.00130610
2256.11239203 0.99953922 0.00032580 -0.24876471 -0.11055638 314.44217953 -0.04895516 0.00001586 0.00085486
2256.11308682 0.99961507 0.00032581 -0.45375057 -0.42539633 310.87578774 -0.13867979 0.00001610 0.00119749
2256.11378161 0.99975140 0.00032583 -0.77686781 -0.54836416 307.27752374 -0.06429402 0.00001676 0.00099897
2256.11517119 0.99914450 0.00032573 -0.37899075 -0.59068976 299.98136227 -0.10558161 0.00001692 0.00108108
2256.11586599 0.99917307 0.00032574 -0.57885390 -0.67640473 296.28261427 -0.17959093 0.00001938 0.00144549
2256.11656078 0.99974971 0.00032583 -0.46569721 -0.51296970 292.55036110 -0.10523058 0.00002248 0.00116471
2256.11725558 0.99998661 0.00032587 -0.37740892 -0.80308334 288.78571883 -0.07371591 0.00002797 0.00102848
2256.11795037 0.99902640 0.00032571 -0.00016992 -0.72635388 284.99037556 -0.10695756 0.00003208 0.00112069
2256.11864515 1.00002196 0.00032587 0.31936923 -0.56105501 281.16680685 -0.11672456 0.00003210 0.00107520
2256.14018374 1.00001782 0.00032587 0.12561229 0.38079378 167.14834732 -0.05949533 0.00004151 0.00085504
2256.14087853 0.99978996 0.00032584 0.08298675 0.23978452 163.78114191 -0.02654084 0.00003345 0.00073714
2256.14157333 0.99993371 0.00032586 0.13065748 0.00530719 160.40921889 0.02862521 0.00002871 0.00055298
2256.14226811 0.99904388 0.00032572 0.19963173 0.07622155 157.02894032 -0.07278301 0.00002600 0.00083045
2256.14296290 0.99920168 0.00032574 0.18059337 0.01466251 153.63636030 -0.04462955 0.00002420 0.00076523
2256.14365770 0.99971202 0.00032582 0.03253532 0.33221673 150.22819403 -0.05010053 0.00002238 0.00081584
2256.14435249 0.99991160 0.00032586 0.14629228 0.48859077 146.80085451 -0.16492270 0.00002077 0.00124388
2256.14504729 0.99960206 0.00032581 -0.09989876 -0.00080470 143.35130115 0.04236796 0.00001980 0.00056751
2256.14574208 0.99919527 0.00032574 0.29257638 -0.43228891 139.87633909 -0.09331963 0.00001874 0.00106730
2256.14643688 0.99897566 0.00032570 0.21878568 -0.13455006 136.37345082 -0.15602291 0.00001787 0.00128367
2256.14713166 1.00006634 0.00032588 0.42341943 -0.54542587 132.84032781 -0.16660343 0.00001721 0.00130958
