#time			flux		fluxerr		x			y		roll		contam			deltaT			smear
2264.42561076 0.99950821 0.00032580 -0.09557325 0.44321395 301.66832060 -0.16372501 0.00515747 0.00107114
2264.42630554 0.99959709 0.00032582 -0.16352743 0.35989006 298.03638164 -0.18541799 0.00515747 0.00127749
2264.42700033 0.99876753 0.00032568 -0.39616416 -0.19506303 294.39150096 -0.26086225 0.02487183 0.00159987
2264.42769511 0.99902705 0.00032573 -0.51447867 -0.43634066 290.73397016 -0.22291276 0.00515747 0.00153628
2264.42838990 1.00031673 0.00032594 -0.24288312 -0.72147398 287.02065567 0.01497118 -0.03424072 0.00067041
2264.42908467 1.00003821 0.00032589 0.31487405 -0.22050304 283.33771341 -0.24045965 0.00515747 0.00150034
2264.42977946 0.99946147 0.00032580 0.49731961 -0.17413037 279.64296329 -0.23609145 0.00515747 0.00149380
2264.43047424 0.99961823 0.00032582 0.15226414 -0.73529771 275.93752599 -0.07836840 -0.01455688 0.00092314
2264.45131774 1.00015654 0.00032591 0.39532895 -0.11988845 166.26502807 -0.20989968 -0.03424072 0.00143404
2264.45201252 0.99923775 0.00032576 0.28713363 0.03767450 162.74140746 -0.12507553 -0.03424072 0.00105733
2264.45270730 0.99933276 0.00032578 0.59598697 -0.30967152 159.21765755 -0.17563748 -0.02441406 0.00129926
2264.45340209 0.99993123 0.00032587 0.39006668 -0.13676932 155.69223108 -0.15377655 -0.05389404 0.00119766
2264.45409687 0.99972500 0.00032584 -0.18339362 0.15197664 152.16336071 0.05221426 -0.03424072 0.00042687
2264.45479166 0.99948718 0.00032580 -0.14004782 0.14023865 148.62952892 0.03757421 -0.03424072 0.00046285
2264.45548644 0.99973957 0.00032584 -0.05318922 0.28162141 145.08910392 -0.06458105 0.02487183 0.00084313
2264.45618123 1.00005250 0.00032589 -0.35359641 -0.49501769 141.54055510 -0.04947580 -0.05389404 0.00093346
2264.45687600 0.99975606 0.00032585 0.12397231 -0.54607154 137.98256570 -0.10803397 -0.05389404 0.00104708
2264.45757079 1.00003124 0.00032589 0.09122494 -0.46293673 134.41388063 -0.05904646 -0.01455688 0.00084185
2264.45826557 0.99911948 0.00032574 0.38932401 -0.27107927 130.83326779 -0.17828465 -0.04406738 0.00134738
2264.45896036 0.99990743 0.00032587 0.19298403 0.23554749 127.23980116 -0.10945698 -0.03424072 0.00092951
2264.45965514 0.99966400 0.00032583 -0.47128492 -0.23918959 123.63278633 -0.21357195 -0.02441406 0.00143629
2264.46034993 0.99930551 0.00032577 -0.07231827 0.36471573 120.01145841 -0.22913282 -0.05389404 0.00138061
2264.46173948 1.00014843 0.00032591 0.26359483 0.03169694 112.72492774 -0.05497911 -0.01455688 0.00081220
2264.46243427 1.00045879 0.00032596 0.82046842 0.29255000 109.05949803 -0.07940129 -0.02441406 0.00079368
2264.46312905 1.00010480 0.00032590 0.97006344 0.26538876 105.37965176 -0.04928516 -0.04406738 0.00071446
2264.46382384 1.00011480 0.00032590 0.68375931 0.28637528 101.68590992 -0.18876857 -0.03424072 0.00120630
2264.46451862 0.99982990 0.00032586 0.14848105 0.55355787 97.97904624 -0.26416404 -0.00473022 0.00147000
2264.46521341 1.00040805 0.00032595 0.49587392 0.32038608 94.25993033 -0.15147867 -0.07351685 0.00104530
2264.46590819 0.99978837 0.00032585 0.70346735 0.93135359 90.52993527 -0.17457636 -0.03424072 0.00119729
2264.46660297 1.00101375 0.00032605 0.41129659 -0.01213962 86.79028964 -0.12603430 -0.03424072 0.00105846
2264.46729775 0.99981829 0.00032586 -0.37728716 -0.01306184 83.04259275 -0.05846845 -0.04406738 0.00091211
2264.46799254 0.99962296 0.00032582 0.06687487 0.42728845 79.28836290 -0.22154624 -0.02441406 0.00131654
2264.46868732 1.00006517 0.00032590 0.00485378 -0.00891097 75.52955450 -0.14754423 -0.03424072 0.00126851
2264.46938211 0.99927400 0.00032577 -0.09262085 -0.09509264 71.76791196 -0.15763963 -0.03424072 0.00124590
2264.47007689 0.99989743 0.00032587 -0.25663736 0.22702728 68.00549376 -0.04747032 -0.05389404 0.00079919
2264.47077168 1.00013542 0.00032591 -0.45902627 0.25689481 64.24419918 -0.05739315 -0.05389404 0.00081186
2264.47146645 1.00016123 0.00032591 -0.13036057 0.29097216 60.48585781 -0.12917325 -0.04406738 0.00104337
2264.47216124 1.00023459 0.00032592 -0.50118927 0.34960347 56.73219183 -0.13753962 -0.06372070 0.00117779
2264.47285602 0.99957157 0.00032582 -0.42210389 -0.17882341 52.98509012 -0.22038042 -0.05389404 0.00155338
2264.47355081 0.99995182 0.00032588 -0.47177496 0.29491838 49.24617089 -0.14265122 -0.07351685 0.00119411
2264.47424559 1.00011180 0.00032590 -0.34986306 0.49581131 45.51666619 -0.10284324 -0.04406738 0.00093322
2264.47494038 1.00036908 0.00032595 -0.32209702 0.37154686 41.79790484 -0.09297464 -0.09310913 0.00094315
2264.47563516 0.99996098 0.00032588 -0.19986861 0.39732394 38.09109521 -0.16286089 -0.07351685 0.00118111
2264.47632993 0.99987819 0.00032587 0.71644316 0.43826390 34.39709668 -0.22470736 -0.04406738 0.00133991
2264.47702472 0.99928938 0.00032577 -0.03210849 0.01503029 30.71628096 -0.14459359 -0.05389404 0.00124358
2264.47771950 0.99974508 0.00032584 -0.33041924 0.33782322 27.04914588 -0.12966658 -0.08331299 0.00106689
2264.47841429 1.00001936 0.00032589 -0.57088720 0.14110559 23.39589137 0.00358640 -0.07351685 0.00073385
2264.47910907 0.99994774 0.00032588 0.02520148 -0.01190292 19.75642911 -0.07585673 -0.05389404 0.00092196
2264.47980386 1.00033515 0.00032594 0.02170011 0.06475100 16.13044684 0.01235878 -0.09310913 0.00068584
2264.48049864 1.00016249 0.00032591 -0.77671004 -0.17660122 12.51745420 -0.09242214 -0.07351685 0.00108394
2264.48119342 1.00060624 0.00032598 -0.91550478 -0.00246018 8.91681215 -0.00060074 -0.07351685 0.00081240
2264.48188820 1.00000653 0.00032589 -0.26123334 0.27186764 5.32750041 -0.03986250 -0.07351685 0.00077831
2264.48258299 1.00043797 0.00032596 -0.60470014 0.23463033 1.74863909 -0.05795309 -0.05389404 0.00085847
2264.48327777 1.00052751 0.00032597 0.02948598 0.42730255 358.17884410 -0.13314612 -0.11270142 0.00113063
2264.48397256 1.00046672 0.00032596 0.50648650 0.35424203 354.61694892 -0.22674522 -0.06372070 0.00137741
2264.48466734 1.00038957 0.00032595 -0.09675583 -0.47003303 351.06137897 -0.19473988 -0.05389404 0.00146125
2264.48536213 1.00061849 0.00032599 0.03770972 -0.58811401 347.51081167 -0.11625920 -0.06372070 0.00112892
2264.48605690 0.99932142 0.00032577 0.25998967 -0.41300226 343.96362910 -0.23882340 -0.08331299 0.00156498
2264.48675169 1.00015383 0.00032591 0.09930099 -0.58887037 340.41814128 -0.00530557 -0.07351685 0.00079135
2264.48744647 0.99972501 0.00032584 -0.28701379 -0.30484556 336.87282976 -0.17602847 -0.07351685 0.00142298
2264.48814126 1.00049217 0.00032597 -0.23843698 -0.28702969 333.32599780 -0.14770536 -0.08331299 0.00133485
2264.48883604 1.00027679 0.00032593 0.06838665 -0.23019521 329.77613902 -0.08056737 -0.08331299 0.00102434
2264.48953083 1.00039971 0.00032595 0.06199458 0.10125975 326.22161777 -0.03707452 -0.09313965 0.00081555
2264.49092038 0.99960060 0.00032582 0.04235032 0.04170354 319.09297670 -0.11780862 -0.07354736 0.00112808
2264.49161517 0.99953181 0.00032581 -0.35122888 -0.12348331 315.51645528 -0.07267886 -0.13226318 0.00109360
2264.49230995 0.99951027 0.00032581 -0.43043638 -0.13371992 311.93007211 -0.08002033 -0.11270142 0.00116245
2264.49300474 1.00005362 0.00032589 -0.47752250 -0.75016764 308.33260586 0.01434177 -0.11270142 0.00070923
2264.49369952 0.99981395 0.00032585 -0.65270638 -0.42208376 304.72348436 -0.04140701 -0.12249756 0.00107326
2264.49439431 1.00034816 0.00032594 -0.62028521 -0.60019459 301.10233954 -0.11823081 -0.11270142 0.00116536
