#time			flux		fluxerr		x			bg		roll		contam			bg			smear
2314.49926138 0.99988431 0.00032603 0.64534828 0.00001537 279.08597595 -0.01981798 -0.01455688 0.00114058
2314.49995611 1.00029464 0.00032610 0.75908563 0.00001551 274.56946150 -0.18497322 -0.10293579 0.00171680
2314.50065083 0.99949266 0.00032597 0.86120754 0.00001523 270.07007772 -0.01551950 0.00515747 0.00107465
2314.50620865 0.99931508 0.00032594 0.53631764 0.00001539 236.52062564 -0.16450811 -0.01455688 0.00162825
2314.50690337 0.99978636 0.00032602 0.46848959 0.00001531 232.76136260 -0.29619482 -0.01455688 0.00211856
2314.50759810 0.99992741 0.00032604 -0.28464935 0.00001520 229.10428365 -0.02535293 -0.04406738 0.00123317
2314.50829283 0.99916940 0.00032592 -0.18149532 0.00001550 225.54532574 0.05260340 -0.08331299 0.00084478
2314.50898756 0.99944376 0.00032596 -0.12372756 0.00001534 222.07951758 0.05448420 -0.07354736 0.00096608
2314.50968229 1.00089111 0.00032620 0.59317520 0.00001493 218.70059774 -0.13178346 -0.08331299 0.00158348
2314.51037700 0.99938560 0.00032595 0.30461505 0.00001548 215.40182678 -0.11019055 0.00515747 0.00148870
2314.51107173 0.99964564 0.00032600 0.33376471 0.00001551 212.17567514 -0.13421433 -0.06372070 0.00145672
2314.51176646 1.00025853 0.00032610 0.40698344 0.00001513 209.01422337 -0.12474027 -0.06372070 0.00147137
2314.51246119 1.00056011 0.00032614 0.43445676 0.00001512 205.90968366 -0.11467052 -0.04406738 0.00141702
2314.51315591 1.00023979 0.00032609 0.67855695 0.00001534 202.85376544 -0.09052515 -0.07351685 0.00135150
2314.51385064 0.99980359 0.00032602 0.51024033 0.00001521 199.83813167 -0.23604543 -0.12249756 0.00188149
2314.51454537 1.00060673 0.00032615 0.38504215 0.00001529 196.85449581 -0.05843373 -0.07351685 0.00124762
2314.51524009 0.99996303 0.00032605 0.57025096 0.00001546 193.89462155 -0.04815105 -0.07351685 0.00117982
2314.51593482 0.99984957 0.00032603 0.43659047 0.00001548 190.95017379 -0.10116985 -0.05389404 0.00141615
2314.51662954 0.99970168 0.00032600 -0.02644751 0.00001582 188.01290927 -0.13117111 -0.02441406 0.00146226
2314.51732427 0.99964398 0.00032599 -0.29382579 0.00001558 185.07443854 -0.26558595 -0.03424072 0.00203990
2314.51801900 0.99966396 0.00032600 -0.09673247 0.00001568 182.12659935 -0.02394409 -0.09310913 0.00118830
